id,genre,genre_number
00127,Mystery,3
00127,Action,4
00128,Comedy,1
00128,Drama,2
00128,Romance,3
00128,Fantasy,4
00128,Adventure,5
00129,Drama,1
00130,Drama,1
00130,Fantasy,2
00130,Thriller,3
00131,Comedy,1
00131,Romance,2
00131,Science Fiction,3
00132,Action,1
00132,Crime,2
00132,Thriller,3
00133,Action,1
00133,Crime,2
00134,Drama,1
00134,War,2
00134,History,3
00135,Drama,1
00136,Animation,1
00136,Family,2
00136,Fantasy,3
00137,Adventure,1
00137,Comedy,2
00137,Drama,3
00137,Fantasy,4
00138,Drama,1
00138,Science Fiction,2
00139,Comedy,1
00140,Horror,1
00140,Thriller,2
00140,Science Fiction,3
00141,Thriller,1
00141,Crime,2
00141,Drama,3
00142,Drama,1
00142,Comedy,2
00142,Romance,3
00142,Fantasy,4
00143,Drama,1
00143,History,2
00143,War,3
00144,Comedy,1
00145,Comedy,1
00145,Drama,2
00146,Drama,1
00146,Comedy,2
00147,Drama,1
00147,Comedy,2
00148,Romance,1
00148,Fantasy,2
00148,Drama,3
00148,Comedy,4
00149,Romance,1
00149,Drama,2
00150,Drama,1
00150,War,2
00150,Action,3
00151,Comedy,1
00152,Adventure,1
00152,Comedy,2
00152,Fantasy,3
00153,Drama,1
00154,Comedy,1
00155,Comedy,1
00155,Science Fiction,2
00155,Drama,3
00156,Action,1
00156,Comedy,2
00157,Comedy,1
00157,Romance,2
00157,Drama,3
00158,Action,1
00158,Adventure,2
00158,Science Fiction,3
00159,Comedy,1
00159,Crime,2
00159,Romance,3
00160,Fantasy,1
00160,Romance,2
00160,Drama,3
00161,Romance,1
00161,Comedy,2
00161,Music,3
00162,Drama,1
00162,Music,2
00163,Crime,1
00163,Comedy,2
00163,Action,3
00164,Comedy,1
00164,Drama,2
00165,Drama,1
00165,Family,2
00167,Romance,1
00167,Drama,2
00168,Adventure,1
00168,Action,2
00168,Thriller,3
00168,Mystery,4
00170,Action,1
00170,Adventure,2
00170,Science Fiction,3
00171,Comedy,1
00171,Romance,2
00171,Drama,3
00172,Comedy,1
00173,Action,1
00173,Adventure,2
00173,Science Fiction,3
00174,Horror,1
00174,Science Fiction,2
00174,Mystery,3
00175,Animation,1
00175,Family,2
00175,Comedy,3
00175,Fantasy,4
00176,Romance,1
00176,Drama,2
00176,Comedy,3
00177,Romance,1
00177,Comedy,2
00178,Action,1
00178,Adventure,2
00178,Comedy,3
00178,Crime,4
00178,Thriller,5
00179,Animation,1
00179,Family,2
00179,Adventure,3
00179,Comedy,4
00180,Crime,1
00180,Comedy,2
00180,Action,3
00180,Adventure,4
00181,Action,1
00181,Adventure,2
00181,Comedy,3
00182,Adventure,1
00182,Animation,2
00182,Comedy,3
00182,Family,4
00182,Fantasy,5
00183,Family,1
00183,Animation,2
00183,Adventure,3
00183,Comedy,4
00183,Fantasy,5
00184,Drama,1
00185,Science Fiction,1
00185,Action,2
00185,Adventure,3
00186,Comedy,1
00186,Drama,2
00187,Comedy,1
00187,Drama,2
00187,Fantasy,3
00188,Action,1
00188,Thriller,2
00189,Action,1
00189,Thriller,2
00189,Crime,3
00190,Action,1
00190,Crime,2
00190,Comedy,3
00192,Comedy,1
00192,Drama,2
00192,Romance,3
00193,Comedy,1
00193,Action,2
00193,Drama,3
00193,History,4
00193,War,5
00194,Action,1
00194,Comedy,2
00194,Crime,3
00195,History,1
00196,Comedy,1
00196,Romance,2
00197,Comedy,1
00197,Drama,2
00197,War,3
00198,Comedy,1
00198,Drama,2
00199,Comedy,1
00200,Science Fiction,1
00200,Adventure,2
00200,Action,3
00201,Comedy,1
00201,Action,2
00202,Science Fiction,1
00202,Drama,2
00202,Thriller,3
00202,Adventure,4
00203,Drama,1
00203,Fantasy,2
00203,Science Fiction,3
00204,Science Fiction,1
00204,Action,2
00204,Drama,3
00204,Thriller,4
00205,Thriller,1
00205,Action,2
00205,Drama,3
00205,Science Fiction,4
00206,Drama,1
00206,Science Fiction,2
00206,War,3
00207,Action,1
00207,Science Fiction,2
00207,Adventure,3
00208,Comedy,1
00208,Crime,2
00208,Action,3
00209,Comedy,1
00209,Science Fiction,2
00209,Romance,3
00211,Drama,1
00211,Western,2
00212,Horror,1
00212,Thriller,2
00212,Action,3
00212,Adventure,4
00213,Action,1
00213,Science Fiction,2
00214,Adventure,1
00214,Science Fiction,2
00214,Action,3
00215,Comedy,1
00216,Animation,1
00216,Family,2
00216,Comedy,3
00216,Fantasy,4
00217,Comedy,1
00218,Action,1
00218,Comedy,2
00218,Thriller,3
00219,Action,1
00219,Thriller,2
00219,Crime,3
00220,Comedy,1
00220,Horror,2
00221,Adventure,1
00221,Family,2
00221,Fantasy,3
00221,Romance,4
00222,Adventure,1
00222,Mystery,2
00222,Crime,3
00223,Adventure,1
00223,Mystery,2
00223,Crime,3
00224,Drama,1
00225,Drama,1
00225,Romance,2
00226,Romance,1
00226,Drama,2
00227,Drama,1
00227,Romance,2
00228,Drama,1
00229,Comedy,1
00229,Drama,2
00229,Romance,3
00230,Thriller,1
00230,Science Fiction,2
00230,Drama,3
00230,Horror,4
00231,Drama,1
00231,History,2
00231,Crime,3
00231,Thriller,4
00232,Animation,1
00232,Action,2
00232,Adventure,3
00232,Science Fiction,4
00233,Science Fiction,1
00233,Adventure,2
00233,Action,3
00234,Drama,1
00235,Comedy,1
00235,Romance,2
00236,Action,1
00236,Comedy,2
00236,Adventure,3
00237,Action,1
00237,Adventure,2
00237,Comedy,3
00238,Drama,1
00238,Thriller,2
00238,Crime,3
00239,Drama,1
00240,Drama,1
00240,Thriller,2
00241,Animation,1
00241,Family,2
00241,Fantasy,3
00242,Drama,1
00242,Romance,2
00243,Comedy,1
00243,Adventure,2
00244,Comedy,1
00244,Thriller,2
00244,Horror,3
00245,Animation,1
00245,Comedy,2
00245,Family,3
00245,Fantasy,4
00245,Romance,5
00246,Comedy,1
00246,Drama,2
00246,Romance,3
00247,Comedy,1
00248,Comedy,1
00248,Crime,2
00249,Comedy,1
00249,Drama,2
00250,Action,1
00250,Adventure,2
00250,Science Fiction,3
00250,Thriller,4
00251,Drama,1
00251,Science Fiction,2
00251,Thriller,3
00252,Adventure,1
00252,Fantasy,2
00252,Family,3
00253,Documentary,1
00254,Comedy,1
00254,Romance,2
00255,Action,1
00255,Crime,2
00256,Action,1
00256,Adventure,2
00256,Crime,3
00257,Comedy,1
00257,Drama,2
00258,Comedy,1
00258,Romance,2
00259,Comedy,1
00259,Drama,2
00260,Action,1
00260,Drama,2
00260,Science Fiction,3
00261,Action,1
00261,Adventure,2
00261,Fantasy,3
00262,Science Fiction,1
00262,Action,2
00263,Comedy,1
00263,Drama,2
00264,Comedy,1
00265,Action,1
00265,Science Fiction,2
00265,Adventure,3
00266,Comedy,1
00266,Drama,2
00266,Romance,3
00267,Romance,1
00267,Comedy,2
00268,Comedy,1
00268,Drama,2
00269,Science Fiction,1
00269,Drama,2
00269,Adventure,3
00270,Science Fiction,1
00270,Horror,2
00270,Action,3
00271,Drama,1
00271,Crime,2
00272,Drama,1
00273,Drama,1
00273,Romance,2
00274,Comedy,1
00274,Romance,2
00275,Drama,1
00275,Romance,2
00275,Crime,3
00276,Comedy,1
00276,War,2
00276,Drama,3
00277,Adventure,1
00277,Science Fiction,2
00277,Action,3
00278,Mystery,1
00278,Drama,2
00278,Crime,3
00279,Comedy,1
00280,Crime,1
00280,Mystery,2
00280,Thriller,3
00281,Science Fiction,1
00281,Adventure,2
00281,Action,3
00282,Science Fiction,1
00282,Horror,2
00283,Action,1
00283,Adventure,2
00283,Science Fiction,3
00284,Science Fiction,1
00284,Romance,2
00284,Comedy,3
00285,Science Fiction,1
00285,Adventure,2
00285,Drama,3
00286,Documentary,1
00287,Drama,1
00287,History,2
00288,Thriller,1
00288,History,2
00288,Drama,3
00289,Mystery,1
00289,Thriller,2
00290,Drama,1
00290,History,2
00291,Documentary,1
00292,Action,1
00292,Adventure,2
00292,Comedy,3
00292,Crime,4
00292,Thriller,5
00293,Drama,1
00293,Comedy,2
00294,Fantasy,1
00294,Comedy,2
00294,Action,3
00294,Drama,4
00295,Crime,1
00295,Drama,2
00295,Thriller,3
00296,Comedy,1
00296,Crime,2
00297,Comedy,1
00297,Action,2
00297,Science Fiction,3
00298,Horror,1
00298,Mystery,2
00298,Thriller,3
00299,Action,1
00299,Comedy,2
00300,Comedy,1
00300,Crime,2
00300,Drama,3
00300,Romance,4
00301,Horror,1
00301,Mystery,2
00301,Thriller,3
00302,Comedy,1
00302,Crime,2
00302,Drama,3
00302,History,4
00303,Crime,1
