Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,movie_title,movie_id,language,poster,popularity,vote_average
8/12/21,Ant-Man,2015,https://boxd.it/23TsE7,3,Yes,,8/12/21,Ant-Man,102899,en,https://image.tmdb.org/t/p/original'/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg,76.381,7.078
8/12/21,Snatch,2000,https://boxd.it/23Vgn3,4,Yes,,8/12/21,Snatch,107,en,https://image.tmdb.org/t/p/original'/56mOJth6DJ6JhgoE2jtpilVqJO.jpg,83.611,7.811
8/13/21,The Dark Knight,2008,https://boxd.it/241C5x,5,Yes,,8/13/21,The Dark Knight,155,en,https://image.tmdb.org/t/p/original'/qJ2tW6WMUDux911r6m7haRef0WH.jpg,112.942,8.515
8/13/21,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/242wMR,3.5,,,8/13/21,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),495764,en,https://image.tmdb.org/t/p/original'/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,62.967,6.928
8/13/21,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/242wMR,3.5,,,8/13/21,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),495764,en,https://image.tmdb.org/t/p/original'/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,62.967,6.928
8/19/21,The Big Short,2015,https://boxd.it/24Oanr,3.5,Yes,,8/18/21,The Big Short,318846,en,https://image.tmdb.org/t/p/original'/isuQWbJPbjybBEWdcCaBUPmU0XO.jpg,35.168,7.354
8/19/21,The Girl Next Door,2004,https://boxd.it/24UxEn,2.5,,,8/19/21,The Girl Next Door,10591,en,https://image.tmdb.org/t/p/original'/5mVyFHSY2rSsNgD4NfEwV82HigU.jpg,49.792,6.722
8/19/21,Serendipity,2001,https://boxd.it/24VrCn,3,Yes,,8/19/21,Serendipity,9778,en,https://image.tmdb.org/t/p/original'/srCE5lEIjVEG5eqWg9JcjZCK1aQ.jpg,26.301,6.931
8/19/21,That Thing Called Tadhana,2014,https://boxd.it/24VOPT,3.5,,,8/19/21,That Thing Called Tadhana,302104,tl,https://image.tmdb.org/t/p/original/fjzwktG6MWbuUQ80XXkdIXPC03G.jpg,6.451,6.2
8/20/21,Arrival,2016,https://boxd.it/252p6D,5,Yes,,8/20/21,Arrival,329865,en,https://image.tmdb.org/t/p/original'/pEzNVQfdzYDzVK0XqxERIw2x2se.jpg,374.666,7.602
8/21/21,There's Something About Mary,1998,https://boxd.it/25aU87,,,,8/21/21,There's Something About Mary,544,en,https://image.tmdb.org/t/p/original'/g03pwohXHOI75InM3zraiaEGguO.jpg,38.655,6.599
8/22/21,Catch Me If You Can,2002,https://boxd.it/25kdUH,4,Yes,,8/22/21,Catch Me If You Can,640,en,https://image.tmdb.org/t/p/original'/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,65.658,7.976
8/26/21,Cast Away,2000,https://boxd.it/25VDD7,4,Yes,,8/22/21,Cast Away,8358,en,https://image.tmdb.org/t/p/original'/7lLJgKnAicAcR5UEuo8xhSMj18w.jpg,50.402,7.666
9/14/21,Maurice,1987,https://boxd.it/28D7qr,3.5,,,9/14/21,Maurice,26371,en,https://image.tmdb.org/t/p/original'/4MI2y8XViPrDiKs1p0QC4bTeZzf.jpg,20.748,7.6
9/15/21,About Time,2013,https://boxd.it/28KEJ1,4.5,Yes,,9/15/21,About Time,122906,en,https://image.tmdb.org/t/p/original'/iR1bVfURbN7r1C46WHFbwCkVve.jpg,54.267,7.918
9/15/21,About Time,2013,https://boxd.it/28KEJ1,4.5,Yes,,9/15/21,About Time,122906,en,https://image.tmdb.org/t/p/original'/iR1bVfURbN7r1C46WHFbwCkVve.jpg,54.267,7.918
9/15/21,How to Lose a Guy in 10 Days,2003,https://boxd.it/28KH7J,2.5,,,9/15/21,How to Lose a Guy in 10 Days,9919,en,https://image.tmdb.org/t/p/original'/2dlftyPz7mTYbrsPvTogyFmYd7d.jpg,37.121,6.786
9/17/21,In Time,2011,https://boxd.it/28XBp9,2.5,Yes,,9/17/21,In Time,49530,en,https://image.tmdb.org/t/p/original'/3Mwj2sIONQckOZP3YwsUXF7U5I4.jpg,65.726,6.969
9/23/21,Upside Down,2012,https://boxd.it/29KRiV,2.5,Yes,,9/23/21,Upside Down,58244,en,https://image.tmdb.org/t/p/original'/2Td1nknvCcpc03EtgKULNH2PEjI.jpg,24.145,6.275
