entry_id,name,year,letterboxd_uri,rating,rewatch,watched_date,movie_id,language,poster,popularity,vote_average,release_date,revenue,runtime,tagline,genre_1,genre_2,genre_3,genre_4,genre_5,country_1,country_2,country_3,country_4,director_1,director_2,director_3
76,Encanto,2021,https://boxd.it/2vj3NX,4,,2022-01-21,568124,en,https://image.tmdb.org/t/p/original'/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,135.294,7.605,2021-10-13,253000000,102,There's a little magic in all of us...almost all of us.,Animation,Comedy,Family,Fantasy,,US,,,,Byron Howard,Jared Bush,
77,The Silence of the Lambs,1991,https://boxd.it/2vzpv9,4,,2022-01-22,274,en,https://image.tmdb.org/t/p/original'/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,15.477,8.348,1991-02-14,272742922,119,To enter the mind of a killer she must challenge the mind of a madman.,Crime,Drama,Thriller,,,US,,,,Jonathan Demme,,
78,The Unholy,2021,https://boxd.it/2vyeRh,1,,2022-01-22,632357,en,https://image.tmdb.org/t/p/original'/bShgiEQoPnWdw4LBrYT5u18JF34.jpg,36.336,6.612,2021-03-31,30800000,99,Be careful who you pray to.,Horror,Mystery,,,,US,,,,Evan Spiliotopoulos,,
79,Spider-Man: No Way Home,2021,https://boxd.it/2zl0fj,4.5,,2022-02-10,634649,en,https://image.tmdb.org/t/p/original'/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,277.357,7.967,2021-12-15,1921847111,148,The Multiverse unleashed.,Action,Adventure,Science Fiction,,,US,,,,Jon Watts,,
80,Scream,2022,https://boxd.it/2zkXGL,4,,2022-02-11,646385,en,https://image.tmdb.org/t/p/original'/1m3W6cpgwuIyjtg5nSnPx7yFkXW.jpg,83.966,6.7,2022-01-12,137700000,114,It's always someone you know.,Horror,Mystery,Thriller,,,US,,,,Matt Bettinelli-Olpin,Tyler Gillett,
81,Call Me by Your Name,2017,https://boxd.it/2Ak2qb,4.5,Yes,2022-02-16,398818,en,https://image.tmdb.org/t/p/original'/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,64.968,8.144,2017-07-28,43143046,132,Is it better to speak or die?,Romance,Drama,,,,US,,,,Luca Guadagnino,,
82,Moonfall,2022,https://boxd.it/2Jkscb,2,,2022-04-06,406759,en,https://image.tmdb.org/t/p/original'/odVv1sqVs0KxBXiA8bhIBlPgalx.jpg,74.829,6.329,2022-02-03,67300000,131,Humanity will face the dark side of the Moon.,Science Fiction,Adventure,Action,,,US,,,,Roland Emmerich,,
83,Death on the Nile,2022,https://boxd.it/2JksS7,2,,2022-04-06,505026,en,https://image.tmdb.org/t/p/original'/kVr5zIAFSPRQ57Y1zE7KzmhzdMQ.jpg,48.218,6.431,2022-02-09,137307235,127,Murder was just the beginning.,Mystery,Crime,Thriller,,,GB,US,,,Kenneth Branagh,,
84,Ratatouille,2007,https://boxd.it/2KuLkH,,Yes,2022-04-11,2062,en,https://image.tmdb.org/t/p/original'/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg,114.424,7.82,2007-06-21,623726000,111,He's dying to become a chef.,Animation,Comedy,Family,Fantasy,,US,,,,Brad Bird,,
85,Don't Look Up,2021,https://boxd.it/2KPMZj,3.5,,2022-04-15,646380,en,https://image.tmdb.org/t/p/original'/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg,146.458,7.102,2021-12-07,791863,138,Based on truly possible events.,Comedy,Science Fiction,Drama,,,US,,,,Adam McKay,,
86,Orphan,2009,https://boxd.it/2MxBhn,3.5,,2022-04-22,21208,en,https://image.tmdb.org/t/p/original'/lCGpOgoTOGLtZnBiGY9HRg5Xnjd.jpg,67.43,6.999,2009-07-24,77912251,122,There's something wrong with Esther.,Horror,Thriller,Mystery,,,CA,DE,US,FR,Jaume Collet-Serra,,
87,Gone Girl,2014,https://boxd.it/2O9tXZ,4,Yes,2022-05-03,210577,en,https://image.tmdb.org/t/p/original'/lv5xShBIDPe7m4ufdlV0IAc7Avk.jpg,86.689,7.892,2014-10-01,369300000,149,You don't know what you've got 'til it's...,Mystery,Thriller,Drama,,,US,,,,David Fincher,,
88,Clueless,1995,https://boxd.it/2P2FbX,4,,2022-05-08,9603,en,https://image.tmdb.org/t/p/original'/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,144.884,7.279,1995-07-19,56631572,97,Sex. Clothes. Popularity. Is there a problem here?,Comedy,Romance,Drama,,,US,,,,Amy Heckerling,,
89,All the Bright Places,2020,https://boxd.it/2PfeVl,2.5,,2022-05-09,342470,en,https://image.tmdb.org/t/p/original'/4SafxuMKQiw4reBiWKVZJpJn80I.jpg,30.328,7.652,2020-02-28,0,108,Live life at full brightness,Romance,Drama,,,,US,,,,Brett Haley,,
90,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2Qf6fl,4,,2022-05-15,453395,en,https://image.tmdb.org/t/p/original'/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,111.825,7.304,2022-05-04,955775804,126,Enter a new dimension of Strange.,Fantasy,Action,Adventure,,,US,,,,Sam Raimi,,
91,Everything Everywhere All at Once,2022,https://boxd.it/2TaPOx,5,,2022-05-31,545611,en,https://image.tmdb.org/t/p/original'/w3LxiVYdWWRvEVdn5RYq6jIqkb1.jpg,75.851,7.791,2022-03-24,139200000,140,The universe is so much bigger than you realize.,Action,Adventure,Science Fiction,,,US,,,,Daniel Scheinert,Daniel Kwan,
92,The Sea Beast,2022,https://boxd.it/31SKKZ,4,,2022-07-17,560057,en,https://image.tmdb.org/t/p/original'/9Zfv4Ap1e8eKOYnZPtYaWhLkk0d.jpg,40.263,7.37,2022-06-24,0,119,Hit the high seas.,Animation,Adventure,Family,Fantasy,,US,,,,Chris Williams,,
93,The Impossible,2012,https://boxd.it/326Nrf,4,,2022-07-17,80278,en,https://image.tmdb.org/t/p/original'/1kBYwWu24QKf47mumWEIAzo5tIu.jpg,33.344,7.368,2012-09-09,198100000,113,Nothing is more powerful than the human spirit.,Adventure,Drama,Thriller,,,ES,US,,,J. A. Bayona,,
94,Thor: Love and Thunder,2022,https://boxd.it/34jLTF,2,,2022-07-27,616037,en,https://image.tmdb.org/t/p/original'/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,202.281,6.466,2022-07-06,760900000,119,The one is not the only.,Fantasy,Action,Comedy,,,US,,,,Taika Waititi,,
95,What We Do in the Shadows,2014,https://boxd.it/34wjQT,4,,2022-07-28,246741,en,https://image.tmdb.org/t/p/original'/a2rD3i3DBMeYbA34rBv6z3B9S3a.jpg,23.531,7.573,2014-06-19,6300000,86,Some interviews with some vampires,Comedy,Horror,,,,NZ,,,,Jemaine Clement,Taika Waititi,
96,The Witch,2015,https://boxd.it/36CDpN,4,,2022-08-07,310131,en,https://image.tmdb.org/t/p/original/zap5hpFCWSvdWSuPGAQyjUv2wAC.jpg,51.777,6.953,2016-02-19,40423945,92,Evil takes many forms.,Horror,Mystery,Drama,,,US,,,,Robert Eggers,,
97,The Billionaire,2011,https://boxd.it/37ENu7,3,,2022-08-12,77094,th,https://image.tmdb.org/t/p/original'/gjolEycpddEirN0Tui92Zglprhb.jpg,9.702,7.3,2011-10-20,0,124,Never too young to become… the billionaire.,Drama,,,,,TH,,,,Songyos Sugmakanan,,
98,Prometheus,2012,https://boxd.it/3a5PjR,3.5,,2022-08-24,70981,en,https://image.tmdb.org/t/p/original'/m7nZCtHJyDLncBUarfM5h5mrppx.jpg,227.437,6.552,2012-05-30,403354469,124,The search for our beginning could lead to our end.,Science Fiction,Adventure,Mystery,,,US,GB,,,Ridley Scott,,
99,Alien: Covenant,2017,https://boxd.it/3ah1yr,3,,2022-08-25,126889,en,https://image.tmdb.org/t/p/original'/zecMELPbU5YMQpC81Z8ImaaXuf9.jpg,364.891,6.111,2017-05-09,240891763,122,The path to paradise begins in hell.,Science Fiction,Horror,Mystery,,,US,,,,Ridley Scott,,
100,Cloverfield,2008,https://boxd.it/3bK1et,2.5,Yes,2022-09-02,7191,en,https://image.tmdb.org/t/p/original'/qIegUGJqyMMCRjkKV1s7A9MqdJ8.jpg,86.436,6.684,2008-01-15,170764026,85,Some thing has found us.,Action,Thriller,Science Fiction,,,US,,,,Matt Reeves,,
101,Juno,2007,https://boxd.it/3c92Mr,5,,2022-09-04,7326,en,https://image.tmdb.org/t/p/original'/jNIn2tVhpvFD6P9IojldI3mNYcn.jpg,39.163,7.054,2007-12-05,232372681,96,A comedy about growing up… and the bumps along the way.,Comedy,Drama,Romance,,,US,,,,Jason Reitman,,
102,Alien,1979,https://boxd.it/3cl8an,4,,2022-09-05,348,en,https://image.tmdb.org/t/p/original'/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,417.155,8.154,1979-05-25,104931801,117,"In space, no one can hear you scream.",Horror,Science Fiction,,,,GB,US,,,Ridley Scott,,
103,Ghost,1990,https://boxd.it/3d1QIH,4,,2022-09-09,251,en,https://image.tmdb.org/t/p/original'/w9RaPHov8oM5cnzeE27isnFMsvS.jpg,80.115,7.212,1990-07-13,505000000,127,"Before Sam was murdered, he told Molly he'd love and protect her forever.",Fantasy,Drama,Thriller,Mystery,Romance,US,,,,Jerry Zucker,,
104,The Perks of Being a Wallflower,2012,https://boxd.it/3dQ8ev,,Yes,2022-09-13,84892,en,https://image.tmdb.org/t/p/original'/aKCvdFFF5n80P2VdS7d8YBwbCjh.jpg,44.459,7.792,2012-09-20,33400000,103,We are infinite.,Drama,,,,,US,,,,Stephen Chbosky,,
105,The Notebook,2004,https://boxd.it/3eFIC1,,Yes,2022-09-18,11036,en,https://image.tmdb.org/t/p/original'/rNzQyW4f8B8cQeg7Dgj3n6eT5k9.jpg,72.95,7.888,2004-06-25,115600000,123,Behind every great love is a great story.,Romance,Drama,,,,US,,,,Nick Cassavetes,,
106,Her,2013,https://boxd.it/3eWoCJ,3,,2022-09-19,152601,en,https://image.tmdb.org/t/p/original'/lEIaL12hSkqqe83kgADkbUqEnvk.jpg,162.11,7.857,2013-12-18,47351251,126,A Spike Jonze love story.,Romance,Science Fiction,Drama,,,US,,,,Spike Jonze,,
107,The Terminal,2004,https://boxd.it/3jPOn7,3,,2022-10-13,594,en,https://image.tmdb.org/t/p/original'/pXNomqKcKXAQbuWxehb2N3XFKfn.jpg,50.18,7.341,2004-06-17,219417255,128,Life is waiting.,Comedy,Drama,,,,US,,,,Steven Spielberg,,
108,Can You Keep a Secret?,2019,https://boxd.it/3mBbDJ,0.5,,2022-10-26,537739,en,https://image.tmdb.org/t/p/original'/7QtCOlHESPEYtFANmd4yLqsYKZ4.jpg,21.822,6.455,2019-09-13,1400000,94,The pitfalls and pleasures of telling the truth,Romance,Comedy,,,,US,,,,Elise Duran,,
109,The Interview,2014,https://boxd.it/3mKUHp,4,,2022-10-27,228967,en,https://image.tmdb.org/t/p/original'/tIDC4xT65l7a8qbgg8GvwD5g8c5.jpg,58.081,6.186,2014-12-25,12342632,113,The Film Hackers Tried To Get Banned,Action,Comedy,,,,US,,,,Evan Goldberg,Seth Rogen,
110,Wanted,2008,https://boxd.it/3qK6ph,,,2022-11-14,8909,en,https://image.tmdb.org/t/p/original'/9ajbORY7zQrdxlMF2QPfIqTLfg7.jpg,41.432,6.518,2008-06-19,342463063,110,Choose your destiny.,Action,Thriller,Crime,,,DE,US,,,Timur Bekmambetov,,
111,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/4PgaGT,4,,2022-12-01,774752,en,https://image.tmdb.org/t/p/original'/8dqXyslZ2hv49Oiob9UjlGSHSTR.jpg,36.023,7.172,2022-11-25,0,45,The perfect present is a galaxy away.,Comedy,Science Fiction,Adventure,,,US,,,,James Gunn,,
112,Me Before You,2016,https://boxd.it/4PgaH3,3,Yes,2022-12-05,296096,en,https://image.tmdb.org/t/p/original'/Ia3dzj5LnCj1ZBdlVeJrbKJQxG.jpg,122.319,7.926,2016-06-01,207945075,110,Live boldly.,Drama,Romance,,,,US,,,,Thea Sharrock,,
113,A Star Is Born,2018,https://boxd.it/4PgaHd,5,,2022-12-08,332562,en,https://image.tmdb.org/t/p/original'/wrFpXMNBRj2PBiN4Z5kix51XaIZ.jpg,46.98,7.501,2018-10-03,433888866,136,,Music,Drama,Romance,,,US,,,,Bradley Cooper,,
114,District 9,2009,https://boxd.it/4PgaHn,2,,2022-12-15,17654,en,https://image.tmdb.org/t/p/original'/tuGlQkqLxnodDSk6mp5c2wvxUEd.jpg,44.943,7.441,2009-08-05,210800000,112,You are not welcome here.,Science Fiction,,,,,US,,,,Neill Blomkamp,,
115,The Hateful Eight,2015,https://boxd.it/4PgaHx,4,,2022-12-17,273248,en,https://image.tmdb.org/t/p/original'/jIywvdPjia2t3eKYbjVTcwBQlG8.jpg,41.872,7.75,2015-12-25,155760117,188,No one comes up here without a damn good reason.,Drama,Mystery,Western,,,US,,,,Quentin Tarantino,,
116,Guillermo del Toro's Pinocchio,2022,https://boxd.it/4PgaHH,4,,2022-12-19,555604,en,https://image.tmdb.org/t/p/original'/vx1u0uwxdlhV2MUzj4VlcMB0N6m.jpg,40.223,8.113,2022-10-22,0,117,Love will give you life.,Animation,Fantasy,Drama,Family,,US,,,,Guillermo del Toro,Mark Gustafson,
117,Glass Onion: A Knives Out Mystery,2022,https://boxd.it/4PgaHR,5,,2022-12-31,661374,en,https://image.tmdb.org/t/p/original'/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg,112.331,7.048,2022-11-12,13280000,140,"When the game ends, the mystery begins.",Comedy,Crime,Mystery,,,US,,,,Rian Johnson,,
118,White Noise,2022,https://boxd.it/4PgaI1,3.5,,2023-01-01,744594,en,https://image.tmdb.org/t/p/original'/1a48bfLQm57ByADdw05uRMoFCZc.jpg,17.551,5.577,2022-11-25,71476,136,You can’t hear it if it's everywhere.,Comedy,Drama,,,,US,,,,Noah Baumbach,,
119,It's a Wonderful Life,1946,https://boxd.it/4PgaIb,3.5,,2023-01-06,1585,en,https://image.tmdb.org/t/p/original'/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,42.03,8.271,1946-12-20,9644124,130,It's a wonderful laugh! It's a wonderful love!,Drama,Family,Fantasy,,,US,,,,Frank Capra,,
120,A Quiet Place Part II,2020,https://boxd.it/4PgaIl,3.5,,2023-01-08,520763,en,https://image.tmdb.org/t/p/original/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg,88.438,7.492,2021-05-21,297400000,96,Silence is not enough.,Science Fiction,Thriller,Horror,,,US,,,,John Krasinski,,
121,Manchester by the Sea,2016,https://boxd.it/4PgaIv,4.5,,2023-01-11,334541,en,https://image.tmdb.org/t/p/original'/e8daDzP0vFOnGyKmve95Yv0D0io.jpg,111.927,7.546,2016-11-18,79000000,138,,Drama,,,,,US,,,,Kenneth Lonergan,,
122,10 Things I Hate About You,1999,https://boxd.it/4PgaIF,3.5,,2023-01-11,4951,en,https://image.tmdb.org/t/p/original'/ujERk3aKABXU3NDXOAxEQYTHe9A.jpg,55.382,7.588,1999-03-30,53478166,97,How do I loathe thee? Let me count the ways.,Comedy,Romance,Drama,,,US,,,,Gil Junger,,
123,The Shape of Water,2017,https://boxd.it/4PgaIP,4.5,,2023-01-14,399055,en,https://image.tmdb.org/t/p/original'/9zfwPffUXpBrEP26yp0q1ckXDcj.jpg,99.969,7.247,2017-12-01,195300000,123,A Fairy Tale for Troubled Times,Drama,Fantasy,Romance,,,US,,,,Guillermo del Toro,,
124,Okja,2017,https://boxd.it/4PgaIZ,3,,2023-01-14,387426,en,https://image.tmdb.org/t/p/original'/pHlRr2MfjK77VIIAO7p0R4jhsJI.jpg,153.445,7.37,2017-06-28,0,122,,Adventure,Drama,Science Fiction,,,US,,,,Bong Joon-ho,,
125,The Hatchet Wielding Hitchhiker,2023,https://boxd.it/4PgaJ9,2,,2023-01-15,1061117,en,https://image.tmdb.org/t/p/original'/kqLloC5n66fLvhlWtZBr8h4SVF6.jpg,9.482,6.189,2023-01-10,0,87,,Documentary,Crime,,,,US,,,,Colette Camden,,
126,Ingrid Goes West,2017,https://boxd.it/4PgaJj,2.5,,2023-01-15,411741,en,https://image.tmdb.org/t/p/original'/3LEyW11onDltXHo0L1X23j9Nnvg.jpg,22.448,6.433,2017-08-11,24931915,97,She'll follow you.,Comedy,Drama,,,,US,,,,Matt Spicer,,
127,Oldboy,2003,https://boxd.it/4PgaJt,4.5,,2023-01-15,670,ko,https://image.tmdb.org/t/p/original'/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,48.538,8.256,2003-11-21,17500000,120,"Laugh, and the world laughs with you. Weep, and you weep alone.",Drama,Thriller,Mystery,Action,,KR,,,,Park Chan-wook,,
128,Swiss Army Man,2016,https://boxd.it/4PgaJX,4,,2023-01-16,347031,en,https://image.tmdb.org/t/p/original'/8pxn8CQ6SD6tly75lrKw08wfZKv.jpg,23.563,6.929,2016-06-24,5800000,97,We all need somebody to lean on.,Comedy,Drama,Romance,Fantasy,Adventure,US,,,,Daniel Scheinert,Daniel Kwan,
129,Tom of Finland,2017,https://boxd.it/4PgaJD,5,,2023-01-16,405204,fi,https://image.tmdb.org/t/p/original'/9I1qNliGbbfKoZleqSHB9wV8kku.jpg,12.861,6.7,2017-02-24,1792414,116,They called it filth. It became a revolution.,Drama,,,,,FI,,,,Dome Karukoski,,
130,The Lighthouse,2019,https://boxd.it/4PgaK7,4,,2023-01-17,503919,en,https://image.tmdb.org/t/p/original'/3nk9UoepYmv1G9oP18q6JJCeYwN.jpg,33.989,7.515,2019-10-18,18100000,109,"Keeping secrets, are ye?",Drama,Fantasy,Thriller,,,US,,,,Robert Eggers,,
131,Palm Springs,2020,https://boxd.it/4PgaKh,4,,2023-01-17,587792,en,https://image.tmdb.org/t/p/original'/yf5IuMW6GHghu39kxA0oFx7Bxmj.jpg,105.328,7.331,2020-07-10,164000,90,Live like there's no tomorrow,Comedy,Romance,Science Fiction,,,US,,,,Max Barbakow,,
132,Kill Bill: Vol. 2,2004,https://boxd.it/4PgaKr,3.5,Yes,2023-01-18,393,en,https://image.tmdb.org/t/p/original'/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg,50.541,7.879,2004-04-16,152159461,136,The bride is back for the final cut.,Action,Crime,Thriller,,,US,,,,Quentin Tarantino,,
133,Kill Bill: Vol. 1,2003,https://boxd.it/4PgaKB,3,Yes,2023-01-18,24,en,https://image.tmdb.org/t/p/original'/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,65.921,7.971,2003-10-10,180906076,111,A roaring rampage of revenge.,Action,Crime,,,,US,,,,Quentin Tarantino,,
134,The Boy in the Striped Pyjamas,2008,https://boxd.it/4PgaKL,2.5,,2023-01-18,14574,en,https://image.tmdb.org/t/p/original'/sLwYSEVVV3r047cjrpRAbGgNsfL.jpg,89.218,7.84,2008-05-07,20416563,94,"Lines may divide us, but hope will unite us.",Drama,War,History,,,GB,US,,,Mark Herman,,
135,Good Will Hunting,1997,https://boxd.it/4PgaKV,4,Yes,2023-01-19,489,en,https://image.tmdb.org/t/p/original'/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,280.486,8.156,1997-12-05,225900000,127,"Some people can never believe in themselves, until someone believes in them.",Drama,,,,,US,,,,Gus Van Sant,,
136,Coraline,2009,https://boxd.it/4PgaMH,3,,2023-01-20,14836,en,https://image.tmdb.org/t/p/original'/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,132.641,7.87,2009-02-05,131800000,100,Be careful what you wish for.,Animation,Family,Fantasy,,,US,,,,Henry Selick,,
137,The Secret Life of Walter Mitty,2013,https://boxd.it/4PgaMR,3.5,Yes,2023-01-21,116745,en,https://image.tmdb.org/t/p/original'/tY6ypjKOOtujhxiSwTmvA4OZ5IE.jpg,48.404,7.2,2013-12-18,188133322,114,Stop dreaming. Start living.,Adventure,Comedy,Drama,Fantasy,,US,,,,Ben Stiller,,
138,Ex Machina,2015,https://boxd.it/4PgaN1,4.5,,2023-01-22,264660,en,https://image.tmdb.org/t/p/original'/aeJS3OXnp7d17QSoMdglZERwCkM.jpg,246.192,7.573,2015-01-21,36869414,108,There is nothing more human than the will to survive,Drama,Science Fiction,,,,GB,,,,Alex Garland,,
139,Blades of Glory,2007,https://boxd.it/4PgaNl,5,,2023-01-23,9955,en,https://image.tmdb.org/t/p/original'/yclY3zyzrL1MS9b6Eygs9ks0ZTY.jpg,23.549,6.1,2007-03-30,118200000,93,Kick Some Ice,Comedy,,,,,US,,,,Josh Gordon,Will Speck,
140,28 Days Later,2002,https://boxd.it/4PgaNb,0.5,,2023-01-23,170,en,https://image.tmdb.org/t/p/original'/sQckQRt17VaWbo39GIu0TMOiszq.jpg,49.81,7.214,2002-10-31,85700000,113,His fear began when he woke up alone. His terror began when he realised he wasn't.,Horror,Thriller,Science Fiction,,,GB,,,,Danny Boyle,,
141,Rope,1948,https://boxd.it/4PgaNv,4.5,,2023-01-24,1580,en,https://image.tmdb.org/t/p/original'/9ar6rxLDB8kagAnXZKn6h9smscr.jpg,28.64,7.956,1948-03-11,2200000,81,"It begins with a shriek...it ends with a shot! From beginning to end, nothing ever held you like Alfred Hitchcock's ROPE!",Thriller,Crime,Drama,,,US,,,,Alfred Hitchcock,,
142,Just Like Heaven,2005,https://boxd.it/4PgaNF,3,,2023-01-25,9007,en,https://image.tmdb.org/t/p/original'/2cLbyVNhEEaUJGg7rfbLtX6454I.jpg,32.895,6.946,2005-09-16,102900000,95,It's a wonderful afterlife.,Drama,Comedy,Romance,Fantasy,,US,,,,Mark Waters,,
143,Hacksaw Ridge,2016,https://boxd.it/4PgaNP,3.5,,2023-01-25,324786,en,https://image.tmdb.org/t/p/original'/wuz8TjCIWR2EVVMuEfBnQ1vuGS3.jpg,223.892,8.194,2016-10-07,175302354,139,One of the greatest heroes in American history never fired a bullet.,Drama,History,War,,,US,,,,Mel Gibson,,
144,Zoolander,2001,https://boxd.it/4PgaNZ,3,,2023-01-26,9398,en,https://image.tmdb.org/t/p/original'/qdrbSneHZjJG2Dj0hhBxzzAo4HB.jpg,26.194,6.2,2001-09-28,60800000,90,3% body fat. 1% brain activity.,Comedy,,,,,US,,,,Ben Stiller,,
145,Burn After Reading,2008,https://boxd.it/4PgaO9,4,,2023-01-27,4944,en,https://image.tmdb.org/t/p/original'/jdwSkQu3XirmX18MNj8CqFWsCk.jpg,29.224,6.65,2008-09-05,163700000,96,Intelligence is relative.,Comedy,Drama,,,,GB,US,,,Joel Coen,Ethan Coen,
146,The Devil Wears Prada,2006,https://boxd.it/4PgaOj,4,Yes,2023-01-28,350,en,https://image.tmdb.org/t/p/original'/8912AsVuS7Sj915apArUFbv6F9L.jpg,77.696,7.395,2006-06-29,326706115,109,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.,Drama,Comedy,,,,US,,,,David Frankel,,
147,The Intouchables,2011,https://boxd.it/4PgaOt,4.5,,2023-01-28,77338,fr,https://image.tmdb.org/t/p/original'/1QU7HKgsQbGpzsJbJK4pAVQV9F5.jpg,52.244,8.3,2011-11-02,426600000,113,Sometimes you have to reach into someone else's world to find out what's missing in your own.,Drama,Comedy,,,,FR,,,,Éric Toledano,Olivier Nakache,
148,Groundhog Day,1993,https://boxd.it/4PgaOD,3,Yes,2023-01-29,137,en,https://image.tmdb.org/t/p/original'/gCgt1WARPZaXnq523ySQEUKinCs.jpg,43.52,7.609,1993-02-11,71100000,101,He’s having the worst day of his life… Over and over again.,Romance,Fantasy,Drama,Comedy,,US,,,,Harold Ramis,,
149,Julie & Julia,2009,https://boxd.it/4PgaON,3,Yes,2023-01-29,24803,en,https://image.tmdb.org/t/p/original'/r1bFBBj3VMek0oEtgm9N51OqVjF.jpg,18.011,6.699,2009-08-06,129500000,123,Based on Two True Stories.,Romance,Drama,,,,US,,,,Nora Ephron,,
150,All Quiet on the Western Front,2022,https://boxd.it/4PgaP7,3,,2023-01-30,49046,de,https://image.tmdb.org/t/p/original'/2IRjbi9cADuDMKmHdLK7LaqQDKA.jpg,73.374,7.739,2022-10-07,0,147,,Drama,War,Action,,,DE,,,,Edward Berger,,
151,The Dictator,2012,https://boxd.it/4PgaOX,3.5,Yes,2023-01-30,76493,en,https://image.tmdb.org/t/p/original'/n0W7kajF4GFMRk2c0wWwMQqTaDM.jpg,32.909,6.19,2012-05-15,179400000,83,Make way for Aladeen.,Comedy,,,,,US,GB,,,Larry Charles,,
152,Monty Python and the Holy Grail,1975,https://boxd.it/4PgaPh,3.5,,2023-01-31,762,en,https://image.tmdb.org/t/p/original'/xZ0rC0kuIsjk6RncpNK73kwstEP.jpg,37.166,7.805,1975-03-14,5000000,91,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.,Adventure,Comedy,Fantasy,,,GB,,,,Terry Gilliam,Terry Jones,
153,"Girl, Interrupted",1999,https://boxd.it/4PgaPr,2.5,,2023-01-31,3558,en,https://image.tmdb.org/t/p/original'/dOBdatHIVppvmRFw2z7bf9VKJr9.jpg,39.543,7.6,1999-12-21,48350205,127,Sometimes the only way to stay sane is to go a little crazy.,Drama,,,,,US,,,,James Mangold,,
154,Life of Brian,1979,https://boxd.it/4PgaPB,3.5,,2023-02-02,583,en,https://image.tmdb.org/t/p/original'/lSSA64WF0M0BXnjwr2quMh6shCl.jpg,70.693,7.762,1979-08-17,20700000,94,He's not the messiah...he's just a naughty boy.,Comedy,,,,,GB,,,,Terry Jones,,
155,Don't Look Up,2021,https://boxd.it/4PgaPL,4,Yes,2023-02-03,646380,en,https://image.tmdb.org/t/p/original'/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg,146.458,7.102,2021-12-07,791863,138,Based on truly possible events.,Comedy,Science Fiction,Drama,,,US,,,,Adam McKay,,
156,This Is the End,2013,https://boxd.it/4PgaPV,3.5,,2023-02-03,109414,en,https://image.tmdb.org/t/p/original'/7Wdc3etyBJA4432TYtz6n9GQd1c.jpg,39.249,6.222,2013-06-12,126041322,106,Nothing ruins a party like the end of the world.,Action,Comedy,,,,US,,,,Seth Rogen,Evan Goldberg,
157,Love Actually,2003,https://boxd.it/4PgaQf,3.5,Yes,2023-02-05,508,en,https://image.tmdb.org/t/p/original'/1ODdWLpyOnIVl0l67GrdaFDlJGf.jpg,97.194,7.116,2003-09-07,249600000,135,The ultimate romantic comedy.,Comedy,Romance,Drama,,,FR,US,GB,,Richard Curtis,,
158,Black Panther: Wakanda Forever,2022,https://boxd.it/4PgaQ5,4.5,,2023-02-05,505642,en,https://image.tmdb.org/t/p/original'/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,250.057,7.127,2022-11-09,859102154,162,Forever.,Action,Adventure,Science Fiction,,,US,,,,Ryan Coogler,,
159,Mickey Blue Eyes,1999,https://boxd.it/4PgaQJ,2,,2023-02-06,10154,en,https://image.tmdb.org/t/p/original'/5nIqLKEhWdA2QpzyaI2sbsTPaxP.jpg,14.196,5.664,1999-08-16,54264342,102,A romantic comedy you can't refuse,Comedy,Crime,Romance,,,US,GB,,,Kelly Makin,,
160,Death Takes a Holiday,1934,https://boxd.it/4PgaS1,3.5,,2023-02-06,37215,en,https://image.tmdb.org/t/p/original'/becYmbZXZalAvxNC4JVpQSjvqtk.jpg,5.648,6.3,1934-03-30,0,79,HE LIVED FOR THREE DAYS...AND LOVED FOREVER!,Fantasy,Romance,Drama,,,US,,,,Mitchell Leisen,,
161,Marry Me,2022,https://boxd.it/4PgaQp,1.5,,2023-02-06,615904,en,https://image.tmdb.org/t/p/original'/ko1JVbGj4bT8IhCWqjBQ6ZtF2t.jpg,23.761,6.69,2022-02-09,44000000,112,Say yes.,Romance,Comedy,Music,,,US,,,,Kat Coiro,,
