entry_id,name,year,letterboxd_uri,rating,rewatch,watched_date,movie_id,language,poster,popularity,vote_average,release_date,revenue,runtime,tagline,genre_1,genre_2,genre_3,genre_4,genre_5,country_1,country_2,country_3,country_4,director_1,director_2,director_3
20,The 40 Year Old Virgin,2005,https://boxd.it/23wgDv,4,Yes,2021-08-09,6957,en,https://image.tmdb.org/t/p/original'/mVeoqL37gzhMXQVpONi9DGOQ3tZ.jpg,41.913,6.398,2005-08-11,177400000,116,Better late than never.,Comedy,Romance,,,,US,,,,Judd Apatow,,
21,Tower Heist,2011,https://boxd.it/23NQYN,,Yes,2021-08-11,59108,en,https://image.tmdb.org/t/p/original'/1HcOyMODYZXnncMikfhYkw3x2ss.jpg,34.242,6.095,2011-11-02,152930623,104,It's not just a robbery. It's payback.,Action,Comedy,,,,US,,,,Brett Ratner,,
22,This Is 40,2012,https://boxd.it/23NRX7,,Yes,2021-08-11,89492,en,https://image.tmdb.org/t/p/original'/mzUuOIFoVkRTHACRb58vm6mkbBN.jpg,34.269,5.873,2012-12-20,88200000,134,The sort-of sequel to 'Knocked Up',Comedy,,,,,US,,,,Judd Apatow,,
23,Ant-Man,2015,https://boxd.it/23TsE7,3,Yes,2021-08-12,102899,en,https://image.tmdb.org/t/p/original'/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg,76.381,7.078,2015-07-14,519311965,117,Heroes don't get any bigger.,Science Fiction,Action,Adventure,,,US,,,,Peyton Reed,,
24,Snatch,2000,https://boxd.it/23Vgn3,4,Yes,2021-08-12,107,en,https://image.tmdb.org/t/p/original'/56mOJth6DJ6JhgoE2jtpilVqJO.jpg,83.611,7.811,2000-09-01,83600000,103,Stealin' stones and breakin' bones.,Crime,Comedy,,,,GB,,,,Guy Ritchie,,
25,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/242wMR,3.5,,2021-08-13,495764,en,https://image.tmdb.org/t/p/original'/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,62.967,6.928,2020-02-05,205537933,109,Mind Over Mayhem,Action,Crime,,,,US,,,,Cathy Yan,,
26,The Dark Knight,2008,https://boxd.it/241C5x,5,Yes,2021-08-13,155,en,https://image.tmdb.org/t/p/original'/qJ2tW6WMUDux911r6m7haRef0WH.jpg,112.942,8.515,2008-07-16,1004558444,152,Welcome to a world without rules.,Drama,Action,Crime,Thriller,,US,,,,Christopher Nolan,,
27,The Big Short,2015,https://boxd.it/24Oanr,3.5,Yes,2021-08-18,318846,en,https://image.tmdb.org/t/p/original'/isuQWbJPbjybBEWdcCaBUPmU0XO.jpg,35.168,7.354,2015-12-11,133346506,131,This is a true story.,Comedy,Drama,,,,US,,,,Adam McKay,,
28,The Girl Next Door,2004,https://boxd.it/24UxEn,2.5,,2021-08-19,10591,en,https://image.tmdb.org/t/p/original'/5mVyFHSY2rSsNgD4NfEwV82HigU.jpg,49.792,6.722,2004-04-09,31635150,110,Matt never saw her coming... but all his friends had!,Comedy,Romance,,,,US,,,,Luke Greenfield,,
29,Serendipity,2001,https://boxd.it/24VrCn,3,Yes,2021-08-19,9778,en,https://image.tmdb.org/t/p/original'/srCE5lEIjVEG5eqWg9JcjZCK1aQ.jpg,26.301,6.931,2001-10-05,77516304,90,Sometimes True Love Can Have More Than One Face.,Comedy,Romance,Drama,,,US,,,,Peter Chelsom,,
30,That Thing Called Tadhana,2014,https://boxd.it/24VOPT,3.5,,2021-08-19,302104,tl,https://image.tmdb.org/t/p/original/fjzwktG6MWbuUQ80XXkdIXPC03G.jpg,6.451,6.2,2015-02-04,0,110,,Romance,,,,,PH,,,,Antoinette Jadaone,,
31,Arrival,2016,https://boxd.it/252p6D,5,Yes,2021-08-20,329865,en,https://image.tmdb.org/t/p/original'/pEzNVQfdzYDzVK0XqxERIw2x2se.jpg,374.666,7.602,2016-11-10,203388186,116,Why are they here?,Drama,Science Fiction,Mystery,,,US,,,,Denis Villeneuve,,
32,There's Something About Mary,1998,https://boxd.it/25aU87,,,2021-08-21,544,en,https://image.tmdb.org/t/p/original'/g03pwohXHOI75InM3zraiaEGguO.jpg,38.655,6.599,1998-07-15,369900000,119,Love is in the hair.,Romance,Comedy,,,,US,,,,Bobby Farrelly,Peter Farrelly,
33,Catch Me If You Can,2002,https://boxd.it/25kdUH,4,Yes,2021-08-22,640,en,https://image.tmdb.org/t/p/original'/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,65.658,7.976,2002-12-16,352114312,141,The true story of a real fake.,Drama,Crime,,,,US,,,,Steven Spielberg,,
34,Cast Away,2000,https://boxd.it/25VDD7,4,Yes,2021-08-22,8358,en,https://image.tmdb.org/t/p/original'/7lLJgKnAicAcR5UEuo8xhSMj18w.jpg,50.402,7.666,2000-12-22,429632142,143,"At the edge of the world, his journey begins.",Adventure,Drama,,,,US,,,,Robert Zemeckis,,
35,Maurice,1987,https://boxd.it/28D7qr,3.5,,2021-09-14,26371,en,https://image.tmdb.org/t/p/original'/4MI2y8XViPrDiKs1p0QC4bTeZzf.jpg,20.748,7.6,1987-09-18,2438304,140,A love story of unforgettable passion.,Drama,Romance,,,,GB,,,,James Ivory,,
36,How to Lose a Guy in 10 Days,2003,https://boxd.it/28KH7J,2.5,,2021-09-15,9919,en,https://image.tmdb.org/t/p/original'/2dlftyPz7mTYbrsPvTogyFmYd7d.jpg,37.121,6.786,2003-02-07,177500000,116,One of them is lying. So is the other.,Comedy,Romance,,,,US,,,,Donald Petrie,,
37,About Time,2013,https://boxd.it/28KEJ1,4.5,Yes,2021-09-15,122906,en,https://image.tmdb.org/t/p/original'/iR1bVfURbN7r1C46WHFbwCkVve.jpg,54.267,7.918,2013-09-04,87100449,123,What if every moment in life came with a second chance?,Drama,Romance,Fantasy,,,GB,,,,Richard Curtis,,
38,In Time,2011,https://boxd.it/28XBp9,2.5,Yes,2021-09-17,49530,en,https://image.tmdb.org/t/p/original'/3Mwj2sIONQckOZP3YwsUXF7U5I4.jpg,65.726,6.969,2011-10-27,173900000,109,Live forever or die trying.,Action,Thriller,Science Fiction,,,US,,,,Andrew Niccol,,
