,movie_title,movie_id,language,poster,popularity,vote_average
44,Fight Club,550,en,https://image.tmdb.org/t/p/original'/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,248.782,8.441
45,Meet Joe Black,297,en,https://image.tmdb.org/t/p/original'/fDPAjvfPMomkKF7cMRmL5Anak61.jpg,63.042,7.334
46,Mr. & Mrs. Smith,787,en,https://image.tmdb.org/t/p/original'/wzIO3ytxeSNt1wRpXLIdkNbGoDm.jpg,50.512,6.683
47,Train to Busan,396535,ko,https://image.tmdb.org/t/p/original'/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,87.514,7.753
48,Downsizing,301337,en,https://image.tmdb.org/t/p/original'/5bNzInSSAXfr0MFlHfb4IoQePVx.jpg,279.498,5.35
49,Corpse Bride,3933,en,https://image.tmdb.org/t/p/original'/isb2Qow76GpqYmsSyfdMfsYAjts.jpg,77.935,7.553
50,Miss Congeniality,1493,en,https://image.tmdb.org/t/p/original'/q1m9ME0zvncnFDmKXC43RqZr8mU.jpg,27.053,6.523
51,Nightcrawler,242582,en,https://image.tmdb.org/t/p/original'/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,60.717,7.707
52,Ciao Alberto,876716,en,https://image.tmdb.org/t/p/original'/9RKPB9IKDHaTxWQgjkS4IJao08a.jpg,29.361,7.4
53,The Simpsons in Plusaversary,877183,en,https://image.tmdb.org/t/p/original'/p5jzbffrXuBTjsiwrQ3aOMTrvCj.jpg,29.092,6.533
54,The Irishman,398978,en,https://image.tmdb.org/t/p/original'/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg,243.601,7.6
55,Dune,438631,en,https://image.tmdb.org/t/p/original'/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,486.363,7.781
56,Shang-Chi and the Legend of the Ten Rings,566525,en,https://image.tmdb.org/t/p/original'/1BIoJGKbXjdFDAqUEiA2VHqkK1Z.jpg,89.281,7.557
57,Venom: Let There Be Carnage,580489,en,https://image.tmdb.org/t/p/original'/1MJNcPZy46hIy2CmSqOeru0yr5C.jpg,104.095,6.799
58,The Shawshank Redemption,278,en,https://image.tmdb.org/t/p/original'/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,140.63,8.7
59,Eternals,524434,en,https://image.tmdb.org/t/p/original'/lFByFSLV5WDJEv3KabbdAF959F2.jpg,61.493,6.88
60,Spider-Man,557,en,https://image.tmdb.org/t/p/original'/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,113.501,7.296
61,Spider-Man 2,558,en,https://image.tmdb.org/t/p/original'/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,40.44,7.273
62,Spider-Man 3,559,en,https://image.tmdb.org/t/p/original'/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,95.353,6.418
63,Chef,212778,en,https://image.tmdb.org/t/p/original'/yMtKHR6VG1Yagvv5F7IFpsGBm66.jpg,29.238,7.112
64,Howl's Moving Castle,4935,ja,https://image.tmdb.org/t/p/original'/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg,108.841,8.409
65,Inglourious Basterds,16869,en,https://image.tmdb.org/t/p/original'/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,125.085,8.218
66,1917,530915,en,https://image.tmdb.org/t/p/original'/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,47.986,7.993
67,Romy and Michele's High School Reunion,9611,en,https://image.tmdb.org/t/p/original'/etg1pHDwJfWbr5XeOkVxErjBRld.jpg,21.115,6.206
68,Team Thor,413279,en,https://image.tmdb.org/t/p/original'/jVSmX89BvsQV2z3wh2IVYVNVw1a.jpg,11.067,7.289
69,The Revenant,281957,en,https://image.tmdb.org/t/p/original'/tSaBkriE7TpbjFoQUFXuikoz0dF.jpg,49.08,7.532
70,Trixie Mattel: Moving Parts,589367,en,https://image.tmdb.org/t/p/original'/dRP8bHtrV2lTITjSpFKptuqR2Gq.jpg,6.369,6.777
71,Edward Scissorhands,162,en,https://image.tmdb.org/t/p/original'/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,63.739,7.717
72,Encanto,568124,en,https://image.tmdb.org/t/p/original'/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,135.294,7.605
73,The Unholy,632357,en,https://image.tmdb.org/t/p/original'/bShgiEQoPnWdw4LBrYT5u18JF34.jpg,36.336,6.612
74,The Silence of the Lambs,274,en,https://image.tmdb.org/t/p/original'/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,15.477,8.348
75,Spider-Man: No Way Home,634649,en,https://image.tmdb.org/t/p/original'/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,277.357,7.967
76,Scream,646385,en,https://image.tmdb.org/t/p/original'/1m3W6cpgwuIyjtg5nSnPx7yFkXW.jpg,83.966,6.7
77,Call Me by Your Name,398818,en,https://image.tmdb.org/t/p/original'/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,64.968,8.144
78,Moonfall,406759,en,https://image.tmdb.org/t/p/original'/odVv1sqVs0KxBXiA8bhIBlPgalx.jpg,74.829,6.329
79,Death on the Nile,505026,en,https://image.tmdb.org/t/p/original'/kVr5zIAFSPRQ57Y1zE7KzmhzdMQ.jpg,48.218,6.431
80,Ratatouille,2062,en,https://image.tmdb.org/t/p/original'/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg,114.424,7.82
81,Don't Look Up,646380,en,https://image.tmdb.org/t/p/original'/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg,146.458,7.102
82,Orphan,21208,en,https://image.tmdb.org/t/p/original'/lCGpOgoTOGLtZnBiGY9HRg5Xnjd.jpg,67.43,6.999
83,Gone Girl,210577,en,https://image.tmdb.org/t/p/original'/lv5xShBIDPe7m4ufdlV0IAc7Avk.jpg,86.689,7.892
