Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
4/5/24,Bee Movie,2007,https://boxd.it/6dgpP1,,Yes,,4/5/24
4/8/24,Shutter,2008,https://boxd.it/6eraRd,1,Yes,,4/6/24
4/8/24,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/6erbOz,3,Yes,,4/6/24
4/8/24,The Social Network,2010,https://boxd.it/6exKcd,3.5,Yes,,4/8/24
4/10/24,Beverly Hills Cop,1984,https://boxd.it/6fykvT,3.5,,,4/10/24
4/11/24,Downsizing,2017,https://boxd.it/6fTLT1,2.5,Yes,,4/11/24
4/13/24,Beverly Hills Cop II,1987,https://boxd.it/6gFlzl,3,,,4/13/24
4/19/24,Liar Liar,1997,https://boxd.it/6iDGdp,2.5,Yes,,4/18/24
4/19/24,Dune,2021,https://boxd.it/6iXLV7,4,Yes,,4/19/24
4/19/24,Dune: Part Two,2024,https://boxd.it/6iXMzB,4.5,,,4/19/24
4/23/24,Galaxy Quest,1999,https://boxd.it/6kDYMZ,4,,,4/23/24
4/25/24,Misery,1990,https://boxd.it/6lmxKR,4.5,,,4/25/24
4/27/24,Hot Fuzz,2007,https://boxd.it/6m6EV5,4,Yes,,4/27/24
4/27/24,Ricky Stanicky,2024,https://boxd.it/6m7Xpf,2,,,4/27/24
5/1/24,Jurassic World Dominion,2022,https://boxd.it/6nPTQD,2,,,5/1/24
